@id,@lon,@lat,name,barrier,addr:full,denomination,time,opening_hours,addr:postcode,No.benches,object_id,source,FIXME,Feuil1_Fie,building:material,operator:type,DataLevel,historic,ele,education:students,note:fr,capacity:teachers,operator,name:en,phone,addr:street,note,name:fr,amenity,toilets,fixme2,building,email,religion,Effectifs,capacity:classrooms,is_in,Facilities,School_Type,note:en,tourism,date,light,addr:city,school:FR,school:CM,source:ref,note:bilingue,addr:housenumber,place,education:teachers,lit,shop,No.Benches,website,fixme,Infomation,education:students_male,description,education:repetition_rate,education:benches,education:students_female,fee,wheelchair,official_name,school:cycle,capacity:pupils,code,type,information,facilities,short_name,fountain
559414644,9.1718503,4.0187692,computer linux friends,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,limbe II,,,,,,,,,,http://sokolo.cronopios.org/images/visit2.jpg,,,,,,,,,,,,,,,,,,,,,,,linux friends association,,,
571132447,9.1721910,4.0177351,sokolo internet cafe,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,office,,,
582685246,9.1666324,4.0094685,Governement School Wovia,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582685251,9.1689076,4.0098665,fischer port wovia,,,,,,,,,,,,,,,ruins,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,doityourself,,,,,,,,,,,,,,,,,,,,
612415390,9.2178090,4.0541938,presbytarian girl school,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869921705,11.2387858,5.3699812,nditam-school,,,,,,,,,,,,,,,,,,,,,,,,,Ecole publique de Nditam,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967892146,9.6935052,4.0377406,Ecole Adventiste,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968405750,10.4738319,5.8928313,Government School Mighang,,,,,,,,,,,,,,,,,325,,,,,,,,,school,,,,,,,,Bambalang,,,,,,,,,,,,,,6,,,,,,,170,,,60,155,,,,,,,primary,,Pit Tiolet(Yes) Water(No) Light(No),,
976599030,10.5177976,5.8846549,Government High school Bambalang,,,,,,,,,,,,,,,,,1148,,,,,,,,,school,,,,,,,,Bambalang,,,,,,,,,,,,,,18,,,,,,,603,,,,543,,,,,,,,,Not Indicated,,
976599032,10.4946096,5.8817999,Government School Njono Bambalang,,,,,,,,,,,,,,,,,,,,,,,,No data sheet available,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976599034,10.5172589,5.8939989,Government school Bambalang Grp II,,,,,,,,,,,,,,,,,664,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,331,,8.4 %,185,333,,,,,,,,,Light(no)Water(Yes)Pit Toilet(No),,
976599043,10.5154458,5.8518497,Government Primary school Mbashie,,,,,,,,,,,,,,,,,,,,,,,,No data sheet available,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976599051,10.4992183,5.8747743,Islamic Primary School Njono,,,,,,,,,,,,,,,,,,,,,,,,No data sheet available,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976599056,10.4883837,5.8892362,Government Technical college Bambalang,,,,,,,,,,,,,,,,,,,,,,,,No data sheet available,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976599057,10.5149784,5.8521598,Community Nursery School Njono,,,,,,,,,,,,,,,,,,,,,,,,No data sheet available,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976652139,10.5488009,5.8966084,Islamic Primary School,,,,,,,,,,,,,,,,,,,,,,,,No data sheet available,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976652147,10.5367729,5.8854758,CBC Primary School,,,,,,,,,,,,,,,,,,,,,,,,No data sheet available,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976652153,10.5331132,5.9037516,Government Primary school Nchomogho Bambalang,,,,,,,,,,,,,,,,,580,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,317,,,,263,,,,,,,,,Light(no)Water(Yes)Pit Toilet(yes),,
976652166,10.5500326,5.8955336,GBSS Mbankuong,,,,,,,,,,,,,,,,,139,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,66,,,,73,,,,,,,,,Pit Tiolet(Yes) Water(No) Light(No),,
983497839,10.3575886,5.9943077,Community Hall/Nursery school,,,,,,,,,,,,,,,,,,,,,,,,No cata sheet available,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983497845,10.3595892,5.9877093,Gov/t school Mbegahng,,,,,,,,,,,,,,,,,372,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,191,,No data,100,181,,,,,,,,,Pit Toilet,,
983497846,10.3765152,5.9847405,St.Theresia's Catholic school Bamessing,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983497885,10.3553968,6.0008669,Gov't Primary school Bamessing,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983497899,10.3591240,5.9663645,Gov't Primary School Mbelue,,,,,,,,,,,,,,,,,457,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,234,,Class 1-8% Class2-11% Class 3-10% Class4-11% Class 5-31.4% Class 6-13%,150,223,,,,,,,,,Standing Tap Pit Toilet,,
983497918,10.3637745,5.9777033,Presbytarian school Mbesoh,,,,,,,,,,,,,,,,,418,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,227,,10%,129,191,,,,,,,,,Pit Toilet Standing Tap,,
1007095635,11.3959718,4.0643715,Ecole Publique de Oban II,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,No data sheet fllled,,,,,,,,,,,,,,,,
1007095732,11.3839312,4.0861327,Ecole Publique de Nkolagoum,,,,,,,,,,,,,,,,,77,Lumiere-inexistant toilets-conforme Bonne fontaine-inexistant,,,,,,,,school,yes,,,,,,,,,,,,,,,,,,,,,3,no,,,,,,41,,,,36,,,,,,,,,,,no
1007095764,11.4014323,4.0766677,Ecole Publique de Louma,,,,,,,,,,,,,,,,,312,Lumiere-inexistant toilets-conforme Bonne fontaine-inexistant,,,,,,,,school,yes,,,,,,,,,,,,,,,,,,,,,6,no,,,,,,143,,,,169,,,,,,,,,,,no
1007095848,11.4313868,4.0355501,Ecole Publique de Tsama,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,No data sheet fllled,,,,,,,,,,,,,,,,
1007095865,11.3020246,4.1180649,Ecole Publique d'Ebougsi,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,No data sheet fllled,,,,,,,,,,,,,,,,
1007095903,11.3589252,4.0700914,Ecole Publique de Lendom II,,,,,,,,,,,,,,,,,,Lumiere-inexistant toilets-conforme Bonne fontaine-inexistant,,,,,,,,school,yes,,,,,152,,,,,,,,,,,,,,,,3,no,,,,,,85,,,,67,,,,,,,,,,,no
1007095913,11.3429547,4.1058691,Ecole Primaire de Ndangueng,,,,,,,,,,,,,,,,,352,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,178,,,,174,,,,,,,,,,,
1007095957,11.3625384,4.1019774,Ecole Catholique de Bitsingda,,,,,,,,,,,,,,,,,69,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,37,,,,,,,,,,,
1013434161,11.1559722,4.0547242,Ecole Publique de Nkoletkotsing,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,175,,,,,,,,,,,,,,,,6,,,,,,,48,,,,77,,,,,,,,,,,
1013434165,11.2460070,4.0430667,Ecole Publique de Nyemeyon,,,,,,,,,,,,,,,,,,Lumiere-non toilets-non bonne fontain-non,,,,,,,,school,no,,,,,199,,,,,,,,,,,,,,,,6,no,,,,,,109,,,,90,,,,,,,,,,,no
1013434201,11.2177926,4.0239809,Ecole Publique de VOA II,,,,,,,,,,,,,,,,,,Lumiere-Non toilets-Non bonne fontain-Non,,,,,,,,school,no,,,,,187,,,,,,,,,,,,,,,,5,no,,,,,,104,,,,83,,,,,,,,,,,no
1013434234,11.2002311,4.0771020,Ecole Publique CETIC de Nkolzibi,,,,,,,,,,,,,,,,,,Lumiere toilets bonne fontain,,,,,,,,school,yes,,,,,151,,,,,,,,,,,,,,,,16,yes,,,,,,112,,,,39,,,,,,,,,,,yes
1013434246,11.2159956,4.0237385,C.E.S de VOA II,,,,,,,,,,,,,,,,,,Lumiere-Non toilet-non bonne fontain-non,,,,,,,,school,no,,,,,83,,,,,,,,,,,,,,,,9,no,,,,,,49,,,,34,,,,,,,,,,,no
1013434260,11.1931203,4.0445741,Ecole Publique de Fegmimbang,,,,,,,,,,,,,,,,,,Lumiere-non toilets-non bonne fontain-non,,,,,,,,school,no,,,,,132,,,,,,,,,,,,,,,,3,no,,,,,,75,,,,56,,,,,,,,,,,no
1013434333,11.2159608,4.0719261,CES de Nkol Poblo,,,,,,,,,,,,,,,,,,Lumiere toilets bonne fontain-non,,,,,,,,school,yes,,,,,160,,,,,,,,,,,,,,,,11,yes,,,,,,80,,,,50,,,,,,,,,,,no
1013434342,11.3123194,4.0643597,Ecole Publique de song-Onana,,,,,,,,,,,,,,,,,,Lumiere toilets bonne fontain,,,,,,,,school,yes,,,,,178,,,,,,,,,,,,,,,,3,yes,,,,,,92,,,,86,,,,,,,,,,,yes
1013434343,11.1944146,4.0139529,Ecole Publique de Mekak,,,,,,,,,,,,,,,,,,Lumiere-Non toilets-Non bonne fontain-Non,,,,,,,,school,no,,,,,112,,,,,,,,,,,,,,,,3,no,,,,,,69,,,,43,,,,,,,,,,,no
1033135952,9.2455568,4.1293719,Bishop Rogan Collage,,,,,,,,,,,,,,1,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033136660,9.2348373,4.1513696,PAIDWA Panafrican institute of developement,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048048509,10.5172003,5.8939256,Government school Bambalang Grp I,,,,,,,,,,,,,,,,,517,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,259,,10%,116,258,,,,,,,Primary,,Light(no)Water(Yes)Pit Toilet(No),,
1049493853,13.7165328,9.5991566,Ecole Publique de Babanguel I,,,,,,,,,,,,,,,,,940,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,478,,,,462,,,,,,,,,,,
1049493863,13.6768707,9.4852907,Lycée de Badjengo,,,,,,408,,,,,,,,,,,627,,,MINESEC,,,Garoua-Maroua,,,school,,,,,,,,,,,,,,,Garoua,,,,,,,15,,,,,,,510,,,,117,,,,,,,,,Tap Toilet,,
1049493944,13.6791410,9.4889594,Ecole Publique de Badjango Group I,,,,,,,,,,,,,,,,,665,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382,,,,283,,,,,,,,,Toilet,,
1049705802,13.7210806,9.4842692,Ecole(Mboulouwol),,,,,,,,,,,,,,,,,315,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,198,,,,117,,,,,,,,,,,
1049705813,13.6390489,9.4919890,Ecole publique de Djiporde de Poutchi,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,No data sheet filled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049705856,13.6778119,9.5193153,Ecole PDBB de Mbor Partidge,,,,,,,,,,,,,,,,,56,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,37,,,,19,,,,,,,,,None,,
1049705935,13.6076099,9.4411759,Ecole Publique de Banjouma Carrefour,,,,,,,,,,,,,,,,,315,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,193,,,,117,,,,,,,,,Toilet,,
1049705958,13.6573002,9.4817533,Ecole des parent de Lagam Bainawa,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049705973,13.6387491,9.4608147,Ecole Premier de Badjouma Radier,,,,,,,,,,,,,,,,,648,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,427,,,,221,,,,,,,,,Toilet,,
1049716143,13.6449475,9.4218589,Ecole des parent de Wouro Bocki,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050198345,13.6867565,9.3579607,Ecole Publique de Toroye I,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,No data sheet filled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050198355,13.6609036,9.3711463,Ecole Publique de Djide,,,,,,,,,,,,,,,,,304,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,197,,,,107,,,,,,,,,Bonne Fontaine,,
1050198362,13.6700748,9.3168913,Ecole Publique de de Be,,,,,,,,,,,,,,,,,539,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,330,,,,209,,,,,,,,,Toilet,,
1050198364,13.6600106,9.3907890,CES de Bandjouma Centre,,,,,,,,,,,,,,,,,469,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,locality,2,,,,,,,399,,,,70,,,,,,,,,Non functional,,
1050198369,13.6371007,9.3258279,Ecole Publique de Difergol,,,,,,,,,,,,,,,,,312,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,171,,,,141,,,,,,,,,None,,
1050198381,13.7124711,9.4103221,Ecole publique de Bandocki,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050198383,13.6982381,9.3928939,Ecole Publique de Babaye,,,,,,,,,,,,,,,,,430,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,265,,,,165,,,,,,,,,Toilet,,
1050198386,13.5839738,9.3422851,Ecole Refugee de Langui,,,,,,,,,,,,,,,,,612,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,328,,,,284,,,,,,,,,,,
1050198415,13.6548388,9.3975596,Ecole Publique de Badjouma Centre,,,,,,,,,,,,,,,,,685,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,locality,6,,,,,,,386,,,,301,,,,,,,,,None,,
1050198425,13.6015428,9.3330186,Ecole Publique de Langui Social,,,,,,,,,,,,,,,,,626,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,329,,,,297,,,,,,,,,None,,
1067136114,10.5349179,5.9014578,GS Nchuomoh,,,,,,,,,,,,,,,,,,,,,,,,No data sheet available,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067136122,10.5309329,5.8842735,GS Mbamong,,,,,,,,,,,,,,,,,,,,,,,,No data sheet available,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067272263,11.4795479,3.9852468,Collège Polyvalent G.T Les Peuples noirs de Mintotom,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,59,,,,,,,,,,,,,,,,13,,,,,,,31,,,,28,,,,,,,,,,,
1067272274,11.4219266,3.9643459,Ecole Publique de Nouma,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067272288,11.4619695,3.9248644,Ecole Maternelle de Nkolgong,,,,,,,,,,,,,,,,,,Lumiere-inexistant Toilet-Existant Bonne Fontain-existant,,,,,,,,school,yes,,,,,50,,,,Ecole Martenelle,,,,no,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,yes
1067272292,11.4750991,3.9895576,Ecole Catholique Maternelle de Yegassi(Martenelle),,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,35,,,,,,,,,,,,,,,,1,,,,,,,26,,,,9,,,,,,,,,,,
1067272314,11.4501557,4.0547397,C.E.S d'Ekabitatom,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,100,,,Toilet,,,,,,,,,,,,,2,,,,,,,47,,,,53,,,,,,,,,,,
1067272338,11.4728879,4.0612981,Ecole publique de Nkolbega,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067272369,11.4558970,3.9545670,Scolastical SHMD deNgoya I,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067272384,11.4625560,3.9252269,Ecole Maternelle et Primaire de Nkolgong,,,,,,,,,,,,,,,,,,Lumiere-inexistant Toilet-Existant Bonne Fontain-existant,,,,,,,,school,yes,,,,,211,,,,Ecole Premiere,,,,no,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,yes
1067272390,11.4751000,3.9895591,Ecole catholique de Yegassi,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,194,,,,,,,,,,,,,,,,6,,,,,,,109,,,,85,,,,,,,,,,,
1067272402,11.4448660,3.9080036,Ecole Publique de Levalembede,,,,,,,,,,,,,,,,,,Lumiere-inexistant Toilet-Existant Bonne Fontain-inexistant,,,,,,,,school,yes,,,,,349,,,,Ecole Premiere,,,,no,,,,,,,,7,,,,,,,169,,,,180,,,,,,,,,,,no
1067272406,11.4790515,3.9847667,College Polyvalent G.T Les Peuples noirs de Mintotom,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,11,,,,,,,,,,,,,,,,10,,,,,,,,Secondaire Technique,,,,,,,,,,,,,,
1067272425,11.4438055,4.0151642,Ecole Publique d'Okoukouda,,,,,,,,,,,,,,,,,,,,,,,,,,school,yes,,,,,294,,,,,,,,yes,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,yes
1067272439,11.4519203,3.9612922,Ecole Catholique de Ngoya,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,No data sheet fllled,,,,,,,,,,,,,,,,
1067272458,11.4536576,4.0528163,Ecole Catholique d'Ekabitatom,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,No data sheet fllled,,,,,,,,,,,,,,,,
1067272481,11.4468364,4.0002982,Cour L'Oma de l'ecole Publique d'Obak,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067272526,11.4429224,3.9169205,Ecole Catholique Ste.Augustin de Leboudi,,,,,,,,,,,,,,,,,,,,,,,,,,school,yes,,,,,960,,,,Ecole Premiere,,,,yes,,,,,,,,15,,,,,,,496,,,,464,,,,,,,,,,,yes
1067272542,11.4514918,3.9633868,College St.Cyprein de Ngoya I,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,No data sheet fllled,,,,,,,,,,,,,,,,
1067272586,11.4434047,4.0218571,C.S.E.C de Bilono II,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,No data sheet fllled,,,,,,,,,,,,,,,,
1067272599,11.4466770,4.0046230,C.E.S d'Okoukouda,,,,,,,,,,,,,,,,,124,,,,,,,,,school,yes,,,,,,,,,,,,,yes,,,,,,,,8,,,,,,,53,,,,51,,,,,,,,,,,yes
